what,kind,bundleId,bundleVersion,description,time
error,log,,,"An exception occurred during push on URI https://boonhero@github.com/boonhero/project_inventory.git: An internal Exception occurred during push: https://boonhero@github.com/boonhero/project_inventory.git: not authorized",1322141694718
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322141694734
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322141694781
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322141695937
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322141696000
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322141699984
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322141700281
error,log,,,"An exception occurred during push on URI https://boonhero@github.com/boonhero/project_inventory.git: An internal Exception occurred during push: https://boonhero@github.com/boonhero/project_inventory.git: not authorized",1322141705015
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322141705031
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322141705078
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322141706718
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322141706781
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322141719890
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322141720187
error,log,,,"An exception occurred during push on URI https://boonhero@github.com/boonhero/project_inventory.git: An internal Exception occurred during push: https://boonhero@github.com/boonhero/project_inventory.git: not authorized",1322141727062
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322141727078
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322141727125
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322141731562
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322141731625
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322141741328
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322141741625
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322141876843
activated,view,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views.PropertySheet",1322141876875
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322141877437
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322142192015
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322142202078
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322142202078
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322142202156
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322142401250
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322142408937
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322142408937
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322142408937
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322142595062
activated,perspective,org.eclipse.jst.j2ee.ui,1.1.500.v201104151900,"org.eclipse.jst.j2ee.J2EEPerspective",1322142598125
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1322142598125
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1322142599062
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1322142599296
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1322142601031
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1322142601578
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1322142601843
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1322142602093
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1322142602312
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1322142602718
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1322142603781
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1322142604000
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1322142604218
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1322142604437
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1322142604625
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1322142604828
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1322142605031
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1322142605281
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322142605359
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322142605640
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322142607218
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322142607734
opened,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1322142612078
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1322142612468
started,bundle,org.eclipse.core.variables,3.2.500.v20110511,"org.eclipse.core.variables",1322142613515
started,bundle,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui",1322142614312
started,bundle,org.eclipse.jdt.debug,3.7.0.v20110509,"org.eclipse.jdt.debug",1322142614593
started,bundle,org.eclipse.jdt.debug.ui,3.6.0.v20110512,"org.eclipse.jdt.debug.ui",1322142614703
executed,command,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.commands.RunLast",1322142615359
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322142615453
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322142616593
started,bundle,org.maven.ide.eclipse.launching,0.12.1.20110112-1712,"org.maven.ide.eclipse.launching",1322142616890
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1322142618578
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1322142623453
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322142627781
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322142680828
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322142682140
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322142682140
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322142685109
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322142687640
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1322142689687
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322142690484
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322142691875
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322142692171
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322142692171
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322142692265
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322142694171
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322142694296
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322142696125
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322142696171
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322142697906
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322142698406
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322142698421
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322142698421
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322142708046
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322142708375
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322142708390
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322142708453
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322142713781
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322142714250
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322142715281
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322142715703
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322142715718
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322142715796
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322142716656
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322142716937
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322142716937
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322142717796
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322142718156
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322142718421
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322142721109
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322142750250
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322142752062
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322142784859
activated,perspective,org.eclipse.egit.ui,1.1.0.201109151100-r,"org.eclipse.egit.ui.GitRepositoryExploring",1322142787484
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1322142787515
activated,view,org.eclipse.egit.ui,1.1.0.201109151100-r,"org.eclipse.egit.ui.RepositoriesView",1322142788656
activated,perspective,org.eclipse.jst.j2ee.ui,1.1.500.v201104151900,"org.eclipse.jst.j2ee.J2EEPerspective",1322142805750
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1322142805765
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1322142806640
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322142820625
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322142821687
activated,perspective,org.eclipse.egit.ui,1.1.0.201109151100-r,"org.eclipse.egit.ui.GitRepositoryExploring",1322142823203
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1322142823218
activated,view,org.eclipse.egit.ui,1.1.0.201109151100-r,"org.eclipse.egit.ui.RepositoriesView",1322142834015
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322142843078
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322142845312
executed,command,org.eclipse.egit.ui,1.1.0.201109151100-r,"org.eclipse.egit.ui.RepositoriesViewConfigurePush",1322142845343
executed,command,org.eclipse.egit.ui,1.1.0.201109151100-r,"org.eclipse.egit.ui.RepositoriesViewOpenProperties",1322142853125
activated,view,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views.PropertySheet",1322142853140
activated,view,org.eclipse.egit.ui,1.1.0.201109151100-r,"org.eclipse.egit.ui.RepositoriesView",1322142855328
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322142861453
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322142865093
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322142865203
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322142866671
executed,command,org.eclipse.egit.ui,1.1.0.201109151100-r,"org.eclipse.egit.ui.RepositoriesViewRebase",1322142866718
executed,command,org.eclipse.egit.ui,1.1.0.201109151100-r,"org.eclipse.egit.ui.team.ShowHistory",1322142874765
opened,view,org.eclipse.team.ui,3.6.100.I20110525-0800,"org.eclipse.team.ui.GenericHistoryView",1322142874843
activated,view,org.eclipse.team.ui,3.6.100.I20110525-0800,"org.eclipse.team.ui.GenericHistoryView",1322142874875
executed,command,org.eclipse.egit.ui,1.1.0.201109151100-r,"org.eclipse.egit.ui.history.CheckoutCommand",1322142899234
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322142899484
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322142901000
started,bundle,org.eclipse.wst.xsl.debug.ui,1.0.200.v201101281837,"org.eclipse.wst.xsl.debug.ui",1322142906843
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322142908000
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322142912640
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1322142912656
activated,view,org.eclipse.egit.ui,1.1.0.201109151100-r,"org.eclipse.egit.ui.RepositoriesView",1322142914656
executed,command,org.eclipse.egit.ui,1.1.0.201109151100-r,"org.eclipse.egit.ui.team.SimpleFetch",1322142919593
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322142919843
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322142924078
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322142924171
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322142926843
executed,command,org.eclipse.egit.ui,1.1.0.201109151100-r,"org.eclipse.egit.ui.RepositoriesViewAddToIndex",1322142984750
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322142984750
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322142984750
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322142985656
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322143105953
activated,perspective,org.eclipse.jst.j2ee.ui,1.1.500.v201104151900,"org.eclipse.jst.j2ee.J2EEPerspective",1322143109234
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1322143109250
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1322143110328
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322143115703
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322143116828
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322143120921
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322143145156
started,bundle,org.eclipse.pde.launching,3.6.0.v20110506,"org.eclipse.pde.launching",1322143145484
started,bundle,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.ui.views.log",1322143145484
started,bundle,org.eclipse.pde.ui,3.6.100.v20110603,"org.eclipse.pde.ui",1322143145500
opened,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1322143145593
opened,view,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.views.ProblemView",1322143145671
started,bundle,org.springframework.ide.eclipse.beans.core.metadata,2.8.0.201110170010-RELEASE,"org.springframework.ide.eclipse.beans.core.metadata",1322143145828
opened,view,org.springframework.ide.eclipse.ui,2.8.0.201110170010-RELEASE,"org.springframework.ide.eclipse.ui.navigator.springExplorer",1322143146140
activated,perspective,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.JavaPerspective",1322143146171
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1322143148468
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.newWizard",1322143148578
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1322143150203
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322143160375
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322143162515
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322143163390
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322143164671
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322143165515
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322143166421
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322143167031
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322143191593
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.300.v201104272153,"org.eclipse.wst.jsdt.manipulation",1322143210500
started,bundle,org.eclipse.wst.jsdt.ui,1.1.101.v201108151912,"org.eclipse.wst.jsdt.ui",1322143210500
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322143210562
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1322143242531
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322143243343
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322143244187
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322143244484
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322143245281
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322143250296
executed,command,org.eclipse.egit.ui,1.1.0.201109151100-r,"org.eclipse.egit.ui.team.Commit",1322143250328
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322143250578
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322143254750
executed,command,org.eclipse.egit.ui,1.1.0.201109151100-r,"org.eclipse.egit.ui.team.SimplePush",1322143282078
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322143282343
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322143288703
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322143288750
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322143291531
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322143307375
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322143391296
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322143393421
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322143465781
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322143466359
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322143467296
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322144131140
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1322144132859
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322144138656
started,bundle,org.springframework.ide.eclipse.beans.ui.refactoring,2.8.0.201110170010-RELEASE,"org.springframework.ide.eclipse.beans.ui.refactoring",1322144141093
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322144144015
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110505-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1322144144015
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1322144144015
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322144153859
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322144154843
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322144155281
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322144156312
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322144272312
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322144273656
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322144467625
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322144468109
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322144468109
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322144468234
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322144723984
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322144738484
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322144739156
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322144739734
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322145093687
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322145094421
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322145094437
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322145094531
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322145135765
